Back to Index,Seniority,Post Unique Reference,Name,Grade (or equivalent),Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),Professional/Occupational Group,Notes,Valid?
Mar-14,Junior,,,GRADE 7,Senior Operational Manager,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1165,,1,45300,57223,Operational Delivery,,
Mar-14,Junior,,,GRADE 7,Senior Operational Manager,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1188,,8.37,45300,57223,Operational Delivery,,
Mar-14,Junior,,,GRADE 7,Senior Operational Manager,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1174,,5,45300,57223,Operational Delivery,,
Mar-14,Junior,,,GRADE 7,Senior Operational Manager,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1137,,3,45300,57223,Operational Delivery,,
Mar-14,Junior,,,GRADE 7,Senior Operational Manager,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1135,,4,45300,57223,Operational Delivery,,
Mar-14,Junior,,,GRADE 6,Senior Operational Manager,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1165,,11.67,55431,69187,Operational Delivery,,
Mar-14,Junior,,,GRADE 7,Senior Operational Manager,,Department for Education,Department For Education,"Childcare, Special Needs and Children’s Services Strategy",,,DFE-1082,,1,45300,57223,Operational Delivery,,
Mar-14,Junior,,,GRADE 7,Senior Operational Manager,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1142,,5,45300,57223,Operational Delivery,,
Mar-14,Junior,,,GRADE 6,Senior Operational Manager,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1154,,22.82,55431,69187,Operational Delivery,,
Mar-14,Junior,,,GRADE 7,Senior Operational Manager,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1099,,14.53,45300,57223,Operational Delivery,,
Mar-14,Junior,,,GRADE 7,Senior Operational Manager,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1154,,8.62,45300,57223,Operational Delivery,,
Mar-14,Junior,,,GRADE 6,Senior Operational Manager,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1133,,8.81,55431,69187,Operational Delivery,,
Mar-14,Junior,,,GRADE 7,Senior Operational Manager,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1065,,5.65,45300,57223,Operational Delivery,,
Mar-14,Junior,,,GRADE 6,Senior Operational Manager,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1020,,3.57,55431,69187,Operational Delivery,,
Mar-14,Junior,,,GRADE 6,Senior Operational Manager,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1139,,3,55431,69187,Operational Delivery,,
Mar-14,Junior,,,GRADE 7,Senior Operational Manager,,Department for Education,Department For Education,Academies Delivery Group,,,DFE-1098,,4,45300,57223,Operational Delivery,,
Mar-14,Junior,,,GRADE 7,Senior Operational Manager,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1192,,5,45300,57223,Operational Delivery,,
Mar-14,Junior,,,GRADE 7,Senior Operational Manager,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1134,,5,45300,57223,Operational Delivery,,
Mar-14,Junior,,,GRADE 7,Senior Operational Manager,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1108,,9.62,45300,57223,Operational Delivery,,
Mar-14,Junior,,,GRADE 6,Senior Operational Manager,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1192,,19,55431,69187,Operational Delivery,,
Mar-14,Junior,,,GRADE 7,Senior Operational Manager,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1106,,2,45300,57223,Operational Delivery,,
Mar-14,Junior,,,GRADE 6,Senior Operational Manager,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1044,,4,55431,69187,Operational Delivery,,
Mar-14,Junior,,,GRADE 6,Senior Operational Manager,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1188,,5,55431,69187,Operational Delivery,,
Mar-14,Junior,,,GRADE 7,Senior Operational Manager,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1151,,6.67,45300,57223,Operational Delivery,,
Mar-14,Junior,,,GRADE 6,Senior Operational Manager,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1142,,3.86,55431,69187,Operational Delivery,,
Mar-14,Junior,,,GRADE 7,Senior Operational Manager,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1029,,7.86,45300,57223,Operational Delivery,,
Mar-14,Junior,,,GRADE 7,Senior Operational Manager,,Department for Education,Standards and Testing Agency,Standards and Testing Agency,,,DFE-1032,,13.39,45300,57223,Operational Delivery,,
Mar-14,Junior,,,GRADE 6,Senior Operational Manager,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1148,,4,55431,69187,Operational Delivery,,
Mar-14,Junior,,,GRADE 7,Senior Operational Manager,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1139,,6,45300,57223,Operational Delivery,,
Mar-14,Junior,,,GRADE 6,Senior Operational Manager,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1065,,4,55431,69187,Operational Delivery,,
Mar-14,Junior,,,GRADE 6,Senior Operational Manager,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1108,,5,55431,69187,Operational Delivery,,
Mar-14,Junior,,,GRADE 7,Senior Operational Manager,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1136,,2,45300,57223,Operational Delivery,,
Mar-14,Junior,,,GRADE 6,Senior Operational Manager,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1136,,4,55431,69187,Operational Delivery,,
Mar-14,Junior,,,GRADE 6,Senior Operational Manager,,Department for Education,Standards and Testing Agency,Standards and Testing Agency,,,DFE-1060,,2,55431,69187,Operational Delivery,,
Mar-14,Junior,,,GRADE 6,Senior Operational Manager,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1053,,4,55431,69187,Operational Delivery,,
Mar-14,Junior,,,GRADE 6,Senior Operational Manager,,Department for Education,Standards and Testing Agency,Standards and Testing Agency,,,DFE-1032,,4,55431,69187,Operational Delivery,,
Mar-14,Junior,,,GRADE 7,Senior Operational Manager,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1148,,6,45300,57223,Operational Delivery,,
Mar-14,Junior,,,GRADE 7,Senior Operational Manager,,Department for Education,Department For Education,"Assessment, Curriculum and General Qualifications",,,DFE-1067,,1,45300,57223,Operational Delivery,,
Mar-14,Junior,,,GRADE 7,Senior Operational Manager,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1161,,3,45300,57223,Operational Delivery,,
Mar-14,Junior,,,GRADE 7,Senior Operational Manager,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1053,,7,45300,57223,Operational Delivery,,
Mar-14,Junior,,,GRADE 7,Senior Operational Manager,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1061,,2.03,45300,57223,Operational Delivery,,
Mar-14,Junior,,,GRADE 6,Senior Operational Manager,,Department for Education,Standards and Testing Agency,Standards and Testing Agency,,,DFE-1181,,1.65,55431,69187,Operational Delivery,,
Mar-14,Junior,,,GRADE 6,Senior Operational Manager,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1151,,5,55431,69187,Operational Delivery,,
Mar-14,Junior,,,GRADE 7,Senior Operational Manager,,Department for Education,Department For Education,Academies Delivery Group,,,DFE-1057,,2.81,45300,57223,Operational Delivery,,
Mar-14,Junior,,,GRADE 7,Senior Operational Manager,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1031,,1,45300,57223,Operational Delivery,,
Mar-14,Junior,,,Grade 6,Senior Operational Manager,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1137,,1,55431,69187,Operational Delivery,,
Mar-14,Junior,,,GRADE 6,Senior Operational Manager,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1134,,1,55431,69187,Operational Delivery,,
Mar-14,Junior,,,Grade 6,Senior Operational Manager,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1174,,1,55431,69187,Operational Delivery,,
Mar-14,Junior,,,GRADE 6,Senior Operational Manager,,Department for Education,Department For Education,Permanent Secretary’s Office,,,DFE-1001,,1,55431,69187,Operational Delivery,,
Mar-14,Junior,,,GRADE 7,Senior Operational Manager,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1044,,1,45300,57223,Operational Delivery,,
Mar-14,Junior,,,GRADE 6,Senior Operational Manager,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1029,,5,55431,69187,Operational Delivery,,
Mar-14,Junior,,,GRADE 7,Senior Operational Manager,,Department for Education,Department For Education,ALB Reform Group,,,DFE-1075,,1,45300,57223,Operational Delivery,,
Mar-14,Junior,,,GRADE 7,Senior Operational Manager,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1164,,2,45300,57223,Operational Delivery,,
Mar-14,Junior,,,GRADE 6,Senior Operational Manager,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1035,,1,55431,69187,Policy,,
Mar-14,Junior,,,GRADE 7,Policy Support Officer,,Department for Education,Department For Education,Office of the Schools Commissioner Group,,,DFE-1092,,5,45300,57223,Policy,,
Mar-14,Junior,,,GRADE 7,Policy Support Officer,,Department for Education,Department For Education,"Assessment, Curriculum and General Qualifications",,,DFE-1067,,3.78,45300,57223,Policy,,
Mar-14,Junior,,,GRADE 6,Policy Support Officer,,Department for Education,Department For Education,"Childcare, Special Needs and Children’s Services Strategy",,,DFE-1172,,5.47,55431,69187,Policy,,
Mar-14,Junior,,,GRADE 7,Policy Support Officer,,Department for Education,Department For Education,"Childcare, Special Needs and Children’s Services Strategy",,,DFE-1172,,15.1,45300,57223,Policy,,
Mar-14,Junior,,,GRADE 7,Policy Support Officer,,Department for Education,Department For Education,Free Schools Group,,,DFE-1146,,14.13,45300,57223,Policy,,
Mar-14,Junior,,,GRADE 7,Policy Support Officer,,Department for Education,Department For Education,Closing The Gap,,,DFE-1033,,6.75,45300,57223,Policy,,
Mar-14,Junior,,,GRADE 7,Policy Support Officer,,Department for Education,Department For Education,Academies Delivery Group,,,DFE-1098,,10,45300,57223,Policy,,
Mar-14,Junior,,,GRADE 6,Policy Support Officer,,Department for Education,Department For Education,Teachers and Teaching Group,,,DFE-1056,,4,55431,69187,Policy,,
Mar-14,Junior,,,GRADE 7,Policy Support Officer,,Department for Education,Department For Education,Teachers and Teaching Group,,,DFE-1040,,9,45300,57223,Policy,,
Mar-14,Junior,,,GRADE 7,Policy Support Officer,,Department for Education,National College,National College for School Leadership,,,DFE-1025,,4.86,45300,57223,Policy,,
Mar-14,Junior,,,GRADE 7,Policy Support Officer,,Department for Education,Department For Education,Systems and Accountability,,,DFE-1111,,17.6,45300,57223,Policy,,
Mar-14,Junior,,,GRADE 7,Policy Support Officer,,Department for Education,Department For Education,Strategic Analysis Research and Policy Impact Group,,,DFE-1150,,2.76,45300,57223,Policy,,
Mar-14,Junior,,,GRADE 6,Policy Support Officer,,Department for Education,Department For Education,People and Change Group,,,DFE-1088,,5.47,55431,69187,Policy,,
Mar-14,Junior,,,GRADE 7,Policy Support Officer,,Department for Education,Department For Education,"Assessment, Curriculum and General Qualifications",,,DFE-1039,,12.2,45300,57223,Policy,,
Mar-14,Junior,,,GRADE 7,Policy Support Officer,,Department for Education,Department For Education,Academies Delivery Group,,,DFE-1055,,8.43,45300,57223,Policy,,
Mar-14,Junior,,,GRADE 7,Policy Support Officer,,Department for Education,Department For Education,People and Change Group,,,DFE-1088,,12.83,45300,57223,Policy,,
Mar-14,Junior,,,GRADE 6,Policy Support Officer,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1133,,1,55431,69187,Policy,,
Mar-14,Junior,,,GRADE 7,Policy Support Officer,,Department for Education,Department For Education,Systems and Accountability,,,DFE-1160,,10.16,45300,57223,Policy,,
Mar-14,Junior,,,GRADE 7,Policy Support Officer,,Department for Education,National College,National College for School Leadership,,,DFE-1027,,10.22,45300,57223,Policy,,
Mar-14,Junior,,,GRADE 6,Policy Support Officer,,Department for Education,Department For Education,ALB Reform Group,,,DFE-1075,,2,55431,69187,Policy,,
Mar-14,Junior,,,GRADE 7,Policy Support Officer,,Department for Education,Department For Education,"Assessment, Curriculum and General Qualifications",,,DFE-1038,,5.43,45300,57223,Policy,,
Mar-14,Junior,,,Grade 6,Policy Support Officer,,Department for Education,Department For Education,Academies Delivery Group,,,DFE-1059,,2,55431,69187,Policy,,
Mar-14,Junior,,,GRADE 7,Policy Support Officer,,Department for Education,National College,National College for School Leadership,,,DFE-1166,,2,45300,57223,Policy,,
Mar-14,Junior,,,GRADE 6,Policy Support Officer,,Department for Education,Department For Education,Free Schools Group,,,DFE-1129,,3,55431,69187,Policy,,
Mar-14,Junior,,,GRADE 6,Policy Support Officer,,Department for Education,Department For Education,"Assessment, Curriculum and General Qualifications",,,DFE-1038,,2.56,55431,69187,Policy,,
Mar-14,Junior,,,GRADE 7,Policy Support Officer,,Department for Education,Department For Education,Education Funding Group,,,DFE-1176,,5,45300,57223,Policy,,
Mar-14,Junior,,,GRADE 7,Policy Support Officer,,Department for Education,Department For Education,System Reform Group,,,DFE-1086,,3.8,45300,57223,Policy,,
Mar-14,Junior,,,GRADE 6,Policy Support Officer,,Department for Education,Department For Education,"Assessment, Curriculum and General Qualifications",,,DFE-1039,,4.68,55431,69187,Policy,,
Mar-14,Junior,,,GRADE 6,Policy Support Officer,,Department for Education,Department For Education,Education Funding Group,,,DFE-1043,,4.01,55431,69187,Policy,,
Mar-14,Junior,,,GRADE 7,Policy Support Officer,,Department for Education,Department For Education,Academies Delivery Group,,,DFE-1059,,9.89,45300,57223,Policy,,
Mar-14,Junior,,,GRADE 6,Policy Support Officer,,Department for Education,Department For Education,Academies Delivery Group,,,DFE-1057,,3,55431,69187,Policy,,
Mar-14,Junior,,,GRADE 7,Policy Support Officer,,Department for Education,Department For Education,System Reform Group,,,DFE-1152,,3.6,45300,57223,Policy,,
