Back to Index,Senior/Junior,Post Unique Reference,Name,Grade (or equivalent),Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),Professional/Occupational Group,Notes,Valid?,
Oct-14,Junior,,,SEO,Parliamentary Officer,,Department of Health,Department of Health,Group Operations,,,IGO-034,,1,33675,45769,Operational Delivery,,,
Oct-14,Junior,,,EO,Executive Assistant,,Department of Health,Department of Health,Group Operations,,,IGO-034,,2,21438,30275,Operational Delivery,,,
Oct-14,Junior,,,G7,Parliamentary Officer,,Department of Health,Department of Health,Group Operations,,,IGO-012,,1,45299,61976,Operational Delivery,,,
Oct-14,Junior,,,AO,Parliamentary Officer,,Department of Health,Department of Health,Group Operations,,,IGO-034,,3,17209,23567,Operational Delivery,,,
Oct-14,Junior,,,EO,Assistant Private Secretary,,Department of Health,Department of Health,Group Operations,,,IGO-034,,2,21438,30275,Operational Delivery,,,
Oct-14,Junior,,,HEO,Parliamentary Officer,,Department of Health,Department of Health,Group Operations,,,IGO-034,,1,26492,37316,Operational Delivery,,,
Oct-14,Junior,,,HEO,Assistant Private Secretary,,Department of Health,Department of Health,Group Operations,,,IGO-034,,6,26492,37316,Operational Delivery,,,
Oct-14,Junior,,,EO,Parliamentary Officer,,Department of Health,Department of Health,Group Operations,,,IGO-034,,2,21438,30275,Operational Delivery,,,
Oct-14,Junior,,,EO,Assistant Private Secretary,,Department of Health,Department of Health,Group Operations,,,IGO-034,,5,21438,30275,Operational Delivery,,,
Oct-14,Junior,,,HEO,Assistant Private Secretary,,Department of Health,Department of Health,Group Operations,,,IGO-034,,2,26492,37316,Operational Delivery,,,
Oct-14,Junior,,,FS,Private Secretary,,Department of Health,Department of Health,Group Operations,,,IGO-034,,1,29992,41546,Operational Delivery,,,
Oct-14,Junior,,,EO,Legislation Officer,,Department of Health,Department of Health,Group Operations,,,IGO-034,,1,21438,30275,Operational Delivery,,,
Oct-14,Junior,,,EO,Diary Manager,,Department of Health,Department of Health,Group Operations,,,IGO-034,,1,21438,30275,Operational Delivery,,,
Oct-14,Junior,,,AO,Legislation Officer,,Department of Health,Department of Health,Group Operations,,,IGO-034,,1,17209,23567,Operational Delivery,,,
Oct-14,Junior,,,EO,Diary Secretary,,Department of Health,Department of Health,Group Operations,,,IGO-034,,1,21438,30275,Operational Delivery,,,
Oct-14,Junior,,,EO,Diary Secretary,,Department of Health,Department of Health,Group Operations,,,IGO-034,,2,21438,30275,Operational Delivery,,,
Oct-14,Junior,,,AO,Office Manager,,Department of Health,Department of Health,Group Operations,,,IGO-034,,4,17209,23567,Operational Delivery,,,
Oct-14,Junior,,,AO,Office Manager,,Department of Health,Department of Health,Group Operations,,,IGO-034,,2,17209,23567,Operational Delivery,,,
Oct-14,Junior,,,G7,Parliamentary Officer,,Department of Health,Department of Health,Group Operations,,,IGO-034,,1,45299,61976,Operational Delivery,,,
Oct-14,Junior,,,G7,Private Secretary,,Department of Health,Department of Health,Group Operations,,,IGO-034,,6,45299,61976,Operational Delivery,,,
Oct-14,Junior,,,EO,Assistant Private Secretary,,Department of Health,Department of Health,Group Operations,,,IGO-056,,1,21438,30275,Operational Delivery,,,
Oct-14,Junior,,,FS,Assistant Private Secretary,,Department of Health,Department of Health,Group Operations,,,IGO-056,,1,29992,41546,Operational Delivery,,,
Oct-14,Junior,,,EO,Assistant Private Secretary,,Department of Health,Department of Health,Group Operations,,,IGO-056,,1,21438,30275,Operational Delivery,,,
Oct-14,Junior,,,G7,Private Secretary,,Department of Health,Department of Health,Group Operations,,,IGO-056,,1,45299,61976,Operational Delivery,,,
Oct-14,Junior,,,EO,Correspondence Officer,,Department of Health,Department of Health,Group Operations,,,IGO-012,,2,21438,30275,Operational Delivery,,,
Oct-14,Junior,,,HEO,Assistant NHS Business Manager,,Department of Health,Department of Health,Group Operations,,,IGO-012,,5,26492,37316,Operational Delivery,,,
Oct-14,Junior,,,G6,Deputy Head of Unit,,Department of Health,Department of Health,Group Operations,,,IGO-012,,1,57075,75035,Operational Delivery,,,
Oct-14,Junior,,,SEO,Business Manager,,Department of Health,Department of Health,Group Operations,,,IGO-012,,6,33675,45769,Operational Delivery,,,
Oct-14,Junior,,,SEO,Business Manager,,Department of Health,Department of Health,Group Operations,,,IGO-012,,1,33675,45769,Operational Delivery,,,
Oct-14,Junior,,,EO,Business Support Officer,,Department of Health,Department of Health,Group Operations,,,IGO-012,,7,21438,30275,Operational Delivery,,,
Oct-14,Junior,,,G7,Section Head,,Department of Health,Department of Health,Group Operations,,,IGO-012,,1,45299,61976,Operational Delivery,,,
Oct-14,Junior,,,G7,Section Head,,Department of Health,Department of Health,Group Operations,,,IGO-012,,1,45299,61976,Operational Delivery,,,
Oct-14,Junior,,,G7,Senior Business Manager,,Department of Health,Department of Health,Group Operations,,,IGO-012,,1,45299,61976,Operational Delivery,,,
Oct-14,Junior,,,EO,Team Support Officer,,Department of Health,Department of Health,Group Operations,,,IGO-012,,1,21438,30275,Other,,,
Oct-14,Junior,,,G6,Senior Policy Adviser,,Department of Health,Department of Health,Group Operations,,,IGO-034,,3,57075,75035,Policy,,,
Oct-14,Junior,,,G7,Policy Adviser,,Department of Health,Department of Health,Group Operations,,,IGO-034,,3,45299,61976,Policy,,,
Oct-14,Junior,,,AO,Admin support,,Department of Health,Department of Health,Group Operations,,,IGO-034,,1,17209,23567,Policy,,,
Oct-14,Junior,,,EO,Admin support,,Department of Health,Department of Health,Group Operations,,,IGO-012,,1,21438,30275,Operational Delivery,,,
Oct-14,Junior,,,G7,Business Manager,,Department of Health,Department of Health,"Innovation, Growth and Technology",,,IGT-2351,,1,45299,61976,Operational Delivery,,,
Oct-14,Junior,,,G7,Private Secretary,,Department of Health,Department of Health,"Innovation, Growth and Technology",,,IGT-2351,,1,45299,61976,Operational Delivery,,,
Oct-14,Junior,,,HEO,Programme Support Officer,,Department of Health,Department of Health,"Innovation, Growth and Technology",,,IGO-2194,,1,26492,37316,Operational Delivery,,,
Oct-14,Junior,,,SEO,Programme Support Officer,,Department of Health,Department of Health,"Innovation, Growth and Technology",,,IGO-2194,,1,33675,45769,Operational Delivery,,,
Oct-14,Junior,,,G7,Senior Programme Manager,,Department of Health,Department of Health,"Innovation, Growth and Technology",,,IGO-2194,,1,45299,61976,Operational Delivery,,,
Oct-14,Junior,,,EO,Personal Assistant,,Department of Health,Department of Health,"Innovation, Growth and Technology",,,IGT-010,,1,21438,30275,Operational Delivery,,,
Oct-14,Junior,,,EO,PA Support,,Department of Health,Department of Health,"Innovation, Growth and Technology",,,IGT-010,,0.67,21438,30275,Operational Delivery,,,
Oct-14,Junior,,,EO,PA Support,,Department of Health,Department of Health,"Innovation, Growth and Technology",,,IGT-010,,1,21438,30275,Operational Delivery,,,
Oct-14,Junior,,,EO,Business Support Officer,,Department of Health,Department of Health,"Innovation, Growth and Technology",,,IGT2353,,0.81,21438,30275,Operational Delivery,,,
Oct-14,Junior,,,EO,Personal Assistant,,Department of Health,Department of Health,"Innovation, Growth and Technology",,,IGT2353,,1,21438,30275,Operational Delivery,,,
Oct-14,Junior,,,HEO,Briefing Manager,,Department of Health,Department of Health,"Innovation, Growth and Technology",,,IGT-010,,1,26492,37316,Operational Delivery,,,
Oct-14,Junior,,,HEO,Project Manager,,Department of Health,Department of Health,"Innovation, Growth and Technology",,,IGT2353,,1,26492,37316,Operational Delivery,,,
Oct-14,Junior,,,SEO,Policy Adviser,,Department of Health,Department of Health,"Innovation, Growth and Technology",,,IGT-010,,1,33675,45769,Operational Delivery,,,
Oct-14,Junior,,,SEO,Policy Adviser,,Department of Health,Department of Health,"Innovation, Growth and Technology",,,IGT2353,,1,33675,45769,Operational Delivery,,,
Oct-14,Junior,,,FS,Project Manager,,Department of Health,Department of Health,"Innovation, Growth and Technology",,,IGT2353,,1,29992,41546,Operational Delivery,,,
Oct-14,Junior,,,FS,Policy Adviser,,Department of Health,Department of Health,"Innovation, Growth and Technology",,,IGT-010,,1,29992,41546,Operational Delivery,,,
Oct-14,Junior,,,G7,Senior Policy Adviser,,Department of Health,Department of Health,"Innovation, Growth and Technology",,,IGT-010,,1,45299,61976,Operational Delivery,,,
Oct-14,Junior,,,G7,Policy Manager,,Department of Health,Department of Health,"Innovation, Growth and Technology",,,IGT-010,,1,45299,61976,Operational Delivery,,,
Oct-14,Junior,,,G7,Policy Manager,,Department of Health,Department of Health,"Innovation, Growth and Technology",,,IGT2353,,1,45299,61976,Operational Delivery,,,
Oct-14,Junior,,,G7,Policy Manager,,Department of Health,Department of Health,"Innovation, Growth and Technology",,,IGT-010,,1,45299,61976,Operational Delivery,,,
Oct-14,Junior,,,G7,Policy Manager,,Department of Health,Department of Health,"Innovation, Growth and Technology",,,IGT-010,,1,45299,61976,Operational Delivery,,,
Oct-14,Junior,,,G7,Policy Manager,,Department of Health,Department of Health,"Innovation, Growth and Technology",,,IGT-010,,1,45299,61976,Operational Delivery,,,
Oct-14,Junior,,,G7,Policy Manager,,Department of Health,Department of Health,"Innovation, Growth and Technology",,,IGT-010,,1,45299,61976,Operational Delivery,,,
Oct-14,Junior,,,G7,Policy Manager,,Department of Health,Department of Health,"Innovation, Growth and Technology",,,IGT2353,,0.89,45299,61976,Operational Delivery,,,
Oct-14,Junior,,,G6,Policy Manager,,Department of Health,Department of Health,"Innovation, Growth and Technology",,,IGO-2194,,1,57075,75035,Operational Delivery,,,
Oct-14,Junior,,,G6,Policy Manager,,Department of Health,Department of Health,"Innovation, Growth and Technology",,,IGT-010,,1,57075,75035,Operational Delivery,,,
Oct-14,Junior,,,G6,Policy Manager,,Department of Health,Department of Health,"Innovation, Growth and Technology",,,IGT2353,,1,57075,75035,Operational Delivery,,,
Oct-14,Junior,,,G6,Senior Finance Manager,,Department of Health,Department of Health,"Innovation, Growth and Technology",,,IGO-2194,,1,57075,75035,Operational Delivery,,,
Oct-14,Junior,,,EO,Project Support Officer,,Department of Health,Department of Health,"Innovation, Growth and Technology",,,IGT-010,,1,21438,30275,Operational Delivery,,,
Oct-14,Junior,,,G7,Business Manager,,Department of Health,Department of Health,"Innovation, Growth and Technology",,,IGT-010,,1,45299,61976,Operational Delivery,,,
Oct-14,Junior,,,EO,Business Support Officer,,Department of Health,Department of Health,"Innovation, Growth and Technology",,,IGO-2194,,1,21438,30275,Operational Delivery,,,
Oct-14,Junior,,,EO,Programme Support Officer,,Department of Health,Department of Health,"Innovation, Growth and Technology",,,IGO-2194,,1,21438,30275,Operational Delivery,,,
Oct-14,Junior,,,EO,Personal Assistant,,Department of Health,Department of Health,"Innovation, Growth and Technology",,,IGO-2194,,1,21438,30275,Operational Delivery,,,
Oct-14,Junior,,,SEO,Policy Adviser,,Department of Health,Department of Health,"Innovation, Growth and Technology",,,IGT-010,,1,33675,45769,Operational Delivery,,,
Oct-14,Junior,,,EO,Business Support Officer,,Department of Health,Department of Health,"Innovation, Growth and Technology",,,IGT-109,,1,21438,30275,Operational Delivery,,,
Oct-14,Junior,,,HEO,Business Manager,,Department of Health,Department of Health,"Innovation, Growth and Technology",,,IGT-109,,0.65,26492,37316,Operational Delivery,,,
Oct-14,Junior,,,HEO,Business Manager,,Department of Health,Department of Health,"Innovation, Growth and Technology",,,IGT-109,,1,26492,37316,Operational Delivery,,,
Oct-14,Junior,,,HEO,Procurement officer,,Department of Health,Department of Health,"Innovation, Growth and Technology",,,IGT-109,,1,26492,37316,Operational Delivery,,,
Oct-14,Junior,,,HEO,Policy Adviser,,Department of Health,Department of Health,"Innovation, Growth and Technology",,,IGT-101,,1,26492,37316,Operational Delivery,,,
Oct-14,Junior,,,HEO,Procurement officer,,Department of Health,Department of Health,"Innovation, Growth and Technology",,,IGT-109,,1,26492,37316,Operational Delivery,,,
Oct-14,Junior,,,HEO,Procurement officer,,Department of Health,Department of Health,"Innovation, Growth and Technology",,,IGT-109,,1,26492,37316,Operational Delivery,,,
Oct-14,Junior,,,HEO,Project Manager,,Department of Health,Department of Health,"Innovation, Growth and Technology",,,IGT-109,,1,26492,37316,Operational Delivery,,,
Oct-14,Junior,,,HEO,Analyst,,Department of Health,Department of Health,"Innovation, Growth and Technology",,,IGT-109,,1,26492,37316,Operational Delivery,,,
Oct-14,Junior,,,SEO,Pharmacist,,Department of Health,Department of Health,"Innovation, Growth and Technology",,,IGT-118,,0.6,33675,45769,Operational Delivery,,,
Oct-14,Junior,,,SEO,Policy Manager,,Department of Health,Department of Health,"Innovation, Growth and Technology",,,IGT-097,,1,33675,45769,Operational Delivery,,,
Oct-14,Junior,,,SEO,Policy Manager,,Department of Health,Department of Health,"Innovation, Growth and Technology",,,IGT-097,,1,33675,45769,Operational Delivery,,,
Oct-14,Junior,,,AO,Analyst,,Department of Health,Department of Health,"Innovation, Growth and Technology",,,IGT-100,,1,17209,23567,Operational Delivery,,,
Oct-14,Junior,,,AO,Business Support Officer,,Department of Health,Department of Health,"Innovation, Growth and Technology",,,IGT-100,,1,17209,23567,Operational Delivery,,,
Oct-14,Junior,,,AO,Business Support Officer,,Department of Health,Department of Health,"Innovation, Growth and Technology",,,IGT-118,,1,17209,23567,Operational Delivery,,,
Oct-14,Junior,,,AO,Business Support Officer,,Department of Health,Department of Health,"Innovation, Growth and Technology",,,IGT-100,,1,17209,23567,Operational Delivery,,,
Oct-14,Junior,,,AO,Business Support Officer,,Department of Health,Department of Health,"Innovation, Growth and Technology",,,IGT-109,,1,17209,23567,Operational Delivery,,,
Oct-14,Junior,,,AO,Business Support Officer,,Department of Health,Department of Health,"Innovation, Growth and Technology",,,IGT-101,,1,17209,23567,Operational Delivery,,,
Oct-14,Junior,,,EO,Business Manager,,Department of Health,Department of Health,"Innovation, Growth and Technology",,,IGT-118,,1,21438,30275,Operational Delivery,,,
Oct-14,Junior,,,EO,Business Manager,,Department of Health,Department of Health,"Innovation, Growth and Technology",,,IGT-097,,1,21438,30275,Operational Delivery,,,
Oct-14,Junior,,,EO,Personal Assistant,,Department of Health,Department of Health,"Innovation, Growth and Technology",,,IGT-028,,1,21438,30275,Operational Delivery,,,
Oct-14,Junior,,,EO,Personal Assistant,,Department of Health,Department of Health,"Innovation, Growth and Technology",,,IGT-097,,1,21438,30275,Operational Delivery,,,
Oct-14,Junior,,,EO,Correspondence Manager,,Department of Health,Department of Health,"Innovation, Growth and Technology",,,IGT-100,,1,21438,30275,Operational Delivery,,,
Oct-14,Junior,,,EO,Policy Manager,,Department of Health,Department of Health,"Innovation, Growth and Technology",,,IGT-118,,1,21438,30275,Operational Delivery,,,
Oct-14,Junior,,,EO,Personal Assistant,,Department of Health,Department of Health,"Innovation, Growth and Technology",,,IGT-118,,0.78,21438,30275,Operational Delivery,,,
Oct-14,Junior,,,EO,Personal Assistant,,Department of Health,Department of Health,"Innovation, Growth and Technology",,,IGT-109,,1,21438,30275,Operational Delivery,,,
Oct-14,Junior,,,EO,Business Manager,,Department of Health,Department of Health,"Innovation, Growth and Technology",,,IGT-100,,1,21438,30275,Operational Delivery,,,
Oct-14,Junior,,,EO,Policy Adviser,,Department of Health,Department of Health,"Innovation, Growth and Technology",,,IGT-101,,1,21438,30275,Operational Delivery,,,
Oct-14,Junior,,,HEO,Policy Adviser,,Department of Health,Department of Health,"Innovation, Growth and Technology",,,IGT-118,,1,26492,37316,Operational Delivery,,,
Oct-14,Junior,,,EO,Business Support Officer,,Department of Health,Department of Health,"Innovation, Growth and Technology",,,IGT-109,,1,21438,30275,Operational Delivery,,,
Oct-14,Junior,,,HEO,Policy Adviser,,Department of Health,Department of Health,"Innovation, Growth and Technology",,,IGT-097,,1,26492,37316,Operational Delivery,,,
Oct-14,Junior,,,HEO,Business Manager,,Department of Health,Department of Health,"Innovation, Growth and Technology",,,IGT-097,,1,26492,37316,Operational Delivery,,,
Oct-14,Junior,,,HEO,Policy Adviser,,Department of Health,Department of Health,"Innovation, Growth and Technology",,,IGT-118,,1,26492,37316,Operational Delivery,,,
Oct-14,Junior,,,HEO,Business Manager,,Department of Health,Department of Health,"Innovation, Growth and Technology",,,IGT-100,,1,26492,37316,Operational Delivery,,,
Oct-14,Junior,,,HEO,Analyst,,Department of Health,Department of Health,"Innovation, Growth and Technology",,,IGT-109,,1,26492,37316,Operational Delivery,,,
Oct-14,Junior,,,HEO,Business Manager,,Department of Health,Department of Health,"Innovation, Growth and Technology",,,IGT-100,,1,26492,37316,Operational Delivery,,,
Oct-14,Junior,,,HEO,Business Manager,,Department of Health,Department of Health,"Innovation, Growth and Technology",,,IGT-028,,1,26492,37316,Operational Delivery,,,
Oct-14,Junior,,,HEO,Business Manager,,Department of Health,Department of Health,"Innovation, Growth and Technology",,,IGT-118,,1,26492,37316,Operational Delivery,,,
Oct-14,Junior,,,HEO,Analyst,,Department of Health,Department of Health,"Innovation, Growth and Technology",,,IGT-100,,1,26492,37316,Operational Delivery,,,
Oct-14,Junior,,,HEO,Policy Adviser,,Department of Health,Department of Health,"Innovation, Growth and Technology",,,IGT-101,,0.7,26492,37316,Operational Delivery,,,
Oct-14,Junior,,,HEO,Procurement officer,,Department of Health,Department of Health,"Innovation, Growth and Technology",,,IGT-109,,1,26492,37316,Operational Delivery,,,
Oct-14,Junior,,,HEO,Business Manager,,Department of Health,Department of Health,"Innovation, Growth and Technology",,,IGT-101,,0.8,26492,37316,Operational Delivery,,,
Oct-14,Junior,,,HEO,Business Manager,,Department of Health,Department of Health,"Innovation, Growth and Technology",,,IGT-101,,1,26492,37316,Operational Delivery,,,
Oct-14,Junior,,,SEO,Policy Adviser,,Department of Health,Department of Health,"Innovation, Growth and Technology",,,IGT-101,,1,33675,45769,Operational Delivery,,,
Oct-14,Junior,,,SEO,Policy Adviser,,Department of Health,Department of Health,"Innovation, Growth and Technology",,,IGT-101,,1,33675,45769,Operational Delivery,,,
